family,setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,source
CIFAR-10 ResNet56,Base IID,CA2FL,10,56.183,2.111814622546211,59.126,1.8452110990344712,1.2477467724609375,0.06752782883786346,1.1459968572998047,0.05226570734806546,added_baselines
CIFAR-10 ResNet56,Base IID,AsyncSGD constant,10,87.715,0.277353564967171,87.945,0.2520019841191733,0.4221222634887695,0.011358308643294752,0.4006779577636719,0.005950799413341429,added_baselines
CIFAR-10 ResNet56,Label-Sorted,AsyncSAM+RMS,10,90.549,0.1532612149240651,90.73600000000002,0.18810635289644548,0.33240312561035157,0.006407432601053329,0.3176276974487305,0.0033291493747266312,cifar10_resnet56
CIFAR-10 ResNet56,Label-Sorted,AsyncSGD,10,87.362,0.2476610587072592,87.531,0.24965776575143822,0.43176157470703125,0.0074415176878702294,0.41499524017333983,0.009299411190335184,cifar10_resnet56
CIFAR-10 ResNet56,Label-Sorted,FedAsync,10,87.46400000000001,0.35163048787043555,87.556,0.34946244433415163,0.42376001770019533,0.009265015960994449,0.4103758633422851,0.007373836982872414,cifar10_resnet56
CIFAR-10 ResNet56,Label-Sorted,FedBuff,10,84.843,1.722335913810078,85.876,0.5078228037416199,0.4669409228515625,0.06340115697550013,0.42340034393310544,0.015443496622666569,cifar10_resnet56
CIFAR-10 ResNet56,Label-Sorted,FADAS,10,82.72,1.2002166471100102,84.185,0.6426235289810066,0.5196739471435547,0.038031729911383344,0.47056866943359377,0.017440929400462536,added_baselines
CIFAR-10 ResNet56,Label-Sorted,CA2FL,10,58.412,2.7211497569961116,59.123,2.1502327780963633,1.1775139025878907,0.073353688803715,1.1499110229492189,0.05686442773161858,added_baselines
CIFAR-10 ResNet56,Label-Sorted,AsyncSGD constant,10,87.571,0.36871262522457465,87.75,0.40157191136831266,0.42536119659423827,0.009883671265693958,0.40987091033935547,0.011565557977496215,added_baselines
CIFAR-10 ResNet56,Dirichlet,AsyncSAM+RMS,10,90.137,0.6088357742445824,90.249,0.6160754823883209,0.3408780889892578,0.014468093392740121,0.33101841461181636,0.01587542325873187,cifar10_resnet56
CIFAR-10 ResNet56,Dirichlet,AsyncSGD,10,87.297,0.48709444669386204,87.42300000000002,0.47606827241478766,0.430681770324707,0.010181567399154169,0.41838692321777343,0.012179388045631302,cifar10_resnet56
CIFAR-10 ResNet56,Dirichlet,FedAsync,10,87.20000000000002,0.44669900380457545,87.38300000000001,0.5026340617188577,0.42953643768310545,0.007844710190847978,0.4176556527709961,0.010809593333579094,cifar10_resnet56
CIFAR-10 ResNet56,Dirichlet,FedBuff,10,84.59799999999998,1.7369789866316736,85.592,0.8355453309067051,0.4728995895385742,0.061017596192787266,0.43295089263916015,0.024947869428526472,cifar10_resnet56
CIFAR-10 ResNet56,Dirichlet,FADAS,10,82.09,0.9755511262870873,83.486,1.0494589081998367,0.5477701416015626,0.03157713693706232,0.49758722290039065,0.03107414613750316,added_baselines
